department_id,department,,aisle_id,aisle,,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,,product_id,product_name,aisle_id,department_id
1,frozen,,1,prepared soups salads,,2539329,1,prior,1,2,8,,,1,Chocolate Sandwich Cookies,61,19
2,other,,2,specialty cheeses,,2398795,1,prior,2,3,7,15,,2,All-Seasons Salt,104,13
3,bakery,,3,energy granola bars,,473747,1,prior,3,3,12,21,,3,Robust Golden Unsweetened Oolong Tea,94,7
4,produce,,4,instant foods,,2254736,1,prior,4,4,7,29,,4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1
5,alcohol,,5,marinades meat preparation,,431534,1,prior,5,4,15,28,,5,Green Chile Anytime Sauce,5,13
6,international,,6,other,,3367565,1,prior,6,2,7,19,,6,Dry Nose Oil,11,11
7,beverages,,7,packaged meat,,550135,1,prior,7,1,9,20,,7,Pure Coconut Water With Orange,98,7
8,pets,,8,bakery desserts,,3108588,1,prior,8,1,14,14,,8,Cut Russet Potatoes Steam N' Mash,116,1
9,dry goods pasta,,9,pasta sauce,,2295261,1,prior,9,1,16,0,,9,Light Strawberry Blueberry Yogurt,120,16
10,bulk,,10,kitchen supplies,,2550362,1,prior,10,4,8,30,,10,Sparkling Orange Juice & Prickly Pear Beverage,115,7
11,personal care,,11,cold flu allergy,,1187899,1,train,11,4,8,14,,11,Peach Mango Juice,31,7
12,meat seafood,,12,fresh pasta,,2168274,2,prior,1,2,11,,,12,Chocolate Fudge Layer Cake,119,1
13,pantry,,13,prepared meals,,1501582,2,prior,2,5,10,10,,13,Saline Nasal Mist,11,11
14,breakfast,,14,tofu meat alternatives,,1901567,2,prior,3,1,10,3,,14,Fresh Scent Dishwasher Cleaner,74,17
15,canned goods,,15,packaged seafood,,738281,2,prior,4,2,10,8,,15,Overnight Diapers Size 6,56,18
16,dairy eggs,,16,fresh herbs,,1673511,2,prior,5,3,11,8,,16,Mint Chocolate Flavored Syrup,103,19
17,household,,17,baking ingredients,,1199898,2,prior,6,2,9,13,,17,Rendered Duck Fat,35,12
18,babies,,18,bulk dried fruits vegetables,,3194192,2,prior,7,2,12,14,,18,Pizza for One Suprema  Frozen Pizza,79,1
19,snacks,,19,oils vinegars,,788338,2,prior,8,1,15,27,,19,Gluten Free Quinoa Three Cheese & Mushroom Blend,63,9
20,deli,,20,oral hygiene,,1718559,2,prior,9,2,9,8,,20,Pomegranate Cranberry & Aloe Vera Enrich Drink,98,7
21,missing,,21,packaged cheese,,1447487,2,prior,10,1,11,6,,21,Small & Medium Dental Dog Treats,40,8
,,,22,hair care,,1402090,2,prior,11,1,10,30,,22,Fresh Breath Oral Rinse Mild Mint,20,11
,,,23,popcorn jerky,,3186735,2,prior,12,1,9,28,,23,Organic Turkey Burgers,49,12
,,,24,fresh fruits,,,,,,,,,,,,,
,,,25,soap,,,,,,,,,,,,,
,,,26,coffee,,,,,,,,,,,,,
,,,27,beers coolers,,,,,,,,,,,,,
,,,28,red wines,,,,,,,,,,,,,
,,,29,honeys syrups nectars,,,,,,,,,,,,,
,,,30,latino foods,,,,,,,,,,,,,
,,,31,refrigerated,,,,,,,,,,,,,
,,,32,packaged produce,,,,,,,,,,,,,
,,,33,kosher foods,,,,,,,,,,,,,
,,,34,frozen meat seafood,,,,,,,,,,,,,
,,,35,poultry counter,,,,,,,,,,,,,
,,,36,butter,,,,,,,,,,,,,
,,,37,ice cream ice,,,,,,,,,,,,,
,,,38,frozen meals,,,,,,,,,,,,,
,,,39,seafood counter,,,,,,,,,,,,,
,,,40,dog food care,,,,,,,,,,,,,
,,,41,cat food care,,,,,,,,,,,,,
,,,42,frozen vegan vegetarian,,,,,,,,,,,,,
,,,43,buns rolls,,,,,,,,,,,,,
,,,44,eye ear care,,,,,,,,,,,,,
,,,45,candy chocolate,,,,,,,,,,,,,
,,,46,mint gum,,,,,,,,,,,,,
,,,47,vitamins supplements,,,,,,,,,,,,,
,,,48,breakfast bars pastries,,,,,,,,,,,,,
,,,49,packaged poultry,,,,,,,,,,,,,
,,,50,fruit vegetable snacks,,,,,,,,,,,,,
,,,51,preserved dips spreads,,,,,,,,,,,,,
,,,52,frozen breakfast,,,,,,,,,,,,,
,,,53,cream,,,,,,,,,,,,,
,,,54,paper goods,,,,,,,,,,,,,
,,,55,shave needs,,,,,,,,,,,,,
,,,56,diapers wipes,,,,,,,,,,,,,
,,,57,granola,,,,,,,,,,,,,
,,,58,frozen breads doughs,,,,,,,,,,,,,
,,,59,canned meals beans,,,,,,,,,,,,,
,,,60,trash bags liners,,,,,,,,,,,,,
,,,61,cookies cakes,,,,,,,,,,,,,
,,,62,white wines,,,,,,,,,,,,,
,,,63,grains rice dried goods,,,,,,,,,,,,,
,,,64,energy sports drinks,,,,,,,,,,,,,
,,,65,protein meal replacements,,,,,,,,,,,,,
,,,66,asian foods,,,,,,,,,,,,,
,,,67,fresh dips tapenades,,,,,,,,,,,,,
,,,68,bulk grains rice dried goods,,,,,,,,,,,,,
,,,69,soup broth bouillon,,,,,,,,,,,,,
,,,70,digestion,,,,,,,,,,,,,
,,,71,refrigerated pudding desserts,,,,,,,,,,,,,
,,,72,condiments,,,,,,,,,,,,,
,,,73,facial care,,,,,,,,,,,,,
,,,74,dish detergents,,,,,,,,,,,,,
,,,75,laundry,,,,,,,,,,,,,
,,,76,indian foods,,,,,,,,,,,,,
,,,77,soft drinks,,,,,,,,,,,,,
,,,78,crackers,,,,,,,,,,,,,
,,,79,frozen pizza,,,,,,,,,,,,,
,,,80,deodorants,,,,,,,,,,,,,
,,,81,canned jarred vegetables,,,,,,,,,,,,,
,,,82,baby accessories,,,,,,,,,,,,,
,,,83,fresh vegetables,,,,,,,,,,,,,
,,,84,milk,,,,,,,,,,,,,
,,,85,food storage,,,,,,,,,,,,,
,,,86,eggs,,,,,,,,,,,,,
,,,87,more household,,,,,,,,,,,,,
,,,88,spreads,,,,,,,,,,,,,
,,,89,salad dressing toppings,,,,,,,,,,,,,
,,,90,cocoa drink mixes,,,,,,,,,,,,,
,,,91,soy lactosefree,,,,,,,,,,,,,
,,,92,baby food formula,,,,,,,,,,,,,
,,,93,breakfast bakery,,,,,,,,,,,,,
,,,94,tea,,,,,,,,,,,,,
,,,95,canned meat seafood,,,,,,,,,,,,,
,,,96,lunch meat,,,,,,,,,,,,,
,,,97,baking supplies decor,,,,,,,,,,,,,
,,,98,juice nectars,,,,,,,,,,,,,
,,,99,canned fruit applesauce,,,,,,,,,,,,,
,,,100,missing,,,,,,,,,,,,,
,,,101,air fresheners candles,,,,,,,,,,,,,
,,,102,baby bath body care,,,,,,,,,,,,,
,,,103,ice cream toppings,,,,,,,,,,,,,
,,,104,spices seasonings,,,,,,,,,,,,,
,,,105,doughs gelatins bake mixes,,,,,,,,,,,,,
,,,106,hot dogs bacon sausage,,,,,,,,,,,,,
,,,107,chips pretzels,,,,,,,,,,,,,
,,,108,other creams cheeses,,,,,,,,,,,,,
,,,109,skin care,,,,,,,,,,,,,
,,,110,pickled goods olives,,,,,,,,,,,,,
,,,111,plates bowls cups flatware,,,,,,,,,,,,,
,,,112,bread,,,,,,,,,,,,,
,,,113,frozen juice,,,,,,,,,,,,,
,,,114,cleaning products,,,,,,,,,,,,,
,,,115,water seltzer sparkling water,,,,,,,,,,,,,
,,,116,frozen produce,,,,,,,,,,,,,
,,,117,nuts seeds dried fruit,,,,,,,,,,,,,
,,,118,first aid,,,,,,,,,,,,,
,,,119,frozen dessert,,,,,,,,,,,,,
,,,120,yogurt,,,,,,,,,,,,,
,,,121,cereal,,,,,,,,,,,,,
,,,122,meat counter,,,,,,,,,,,,,
,,,123,packaged vegetables fruits,,,,,,,,,,,,,
,,,124,spirits,,,,,,,,,,,,,
,,,125,trail mix snack mix,,,,,,,,,,,,,
,,,126,feminine care,,,,,,,,,,,,,
,,,127,body lotions soap,,,,,,,,,,,,,
,,,128,tortillas flat bread,,,,,,,,,,,,,
,,,129,frozen appetizers sides,,,,,,,,,,,,,
,,,130,hot cereal pancake mixes,,,,,,,,,,,,,
,,,131,dry pasta,,,,,,,,,,,,,
,,,132,beauty,,,,,,,,,,,,,
,,,133,muscles joints pain relief,,,,,,,,,,,,,
,,,134,specialty wines champagnes,,,,,,,,,,,,,
